"","id","folds_pocket","folds_flop","folds_turn","folds_river","checks_pocket","checks_flop","checks_turn","checks_river","calls_pocket","calls_flop","calls_turn","calls_river","bets_pocket","bets_flop","bets_turn","bets_river","raises_pocket","raises_flop","raises_turn","raises_river"
"6255",3055997902,3,0,2,0,1,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0
"6256",3056001136,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6257",3056001806,3,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1
"6258",3056020992,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6259",3056022334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6260",3056023616,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6261",3056024470,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6262",3056025582,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"6263",3056028370,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6264",3056012418,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6265",3056028798,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6266",3056030034,3,0,1,0,0,3,1,1,2,0,1,1,0,0,1,1,1,0,0,0
"6267",3056014162,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6268",3056015158,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6269",3056033810,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6270",3056035042,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6271",3056020252,3,1,0,0,0,1,1,0,2,1,1,0,0,1,1,0,1,1,0,0
"6272",3056035724,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6273",3056037228,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6274",3056037834,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6275",3056038534,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6276",3056039396,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6277",3056040078,4,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0
"6278",3056034518,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6279",3056035376,4,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,1,1,0,1
"6280",3056039556,4,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,2,0,0,0
"6281",3056066436,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6282",3056095672,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"6283",3056097178,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"6284",3056098998,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"6285",3056102156,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6286",3056114402,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6287",3056115418,4,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
